population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,6,China,2,Female,17,60-64 years,973,Substance use disorders,2,Percent,2021,0.0058672656467263,0.0076853744606102,0.004339575054882
1,All Population,5,Prevalence,6,China,1,Male,18,65-69 years,973,Substance use disorders,2,Percent,2021,0.0204017086844498,0.0261186913934489,0.0153565209336324
1,All Population,5,Prevalence,6,China,2,Female,18,65-69 years,973,Substance use disorders,2,Percent,2021,0.0054072081704895,0.0068302660186539,0.0043730790599893
1,All Population,5,Prevalence,6,China,1,Male,19,70-74 years,973,Substance use disorders,2,Percent,2021,0.0163681480505253,0.0212777687025121,0.0120485896484088
1,All Population,5,Prevalence,6,China,2,Female,19,70-74 years,973,Substance use disorders,2,Percent,2021,0.0051438843537973,0.0065637605917044,0.0038781535213158
1,All Population,5,Prevalence,6,China,1,Male,20,75-79 years,973,Substance use disorders,2,Percent,2021,0.0146311390619268,0.0189849437668114,0.0110674846699396
1,All Population,5,Prevalence,6,China,2,Female,20,75-79 years,973,Substance use disorders,2,Percent,2021,0.005080292801784,0.0062831993231922,0.0039319615928082
1,All Population,5,Prevalence,6,China,1,Male,30,80-84 years,973,Substance use disorders,2,Percent,2021,0.013698083169239,0.0184944054101825,0.0095640701702831
1,All Population,5,Prevalence,6,China,2,Female,30,80-84 years,973,Substance use disorders,2,Percent,2021,0.005035861990719,0.0064944705914238,0.0037608327115149
1,All Population,5,Prevalence,6,China,1,Male,31,85-89 years,973,Substance use disorders,2,Percent,2021,0.0135482373584963,0.017877908045113,0.0101529729702328
1,All Population,5,Prevalence,6,China,2,Female,31,85-89 years,973,Substance use disorders,2,Percent,2021,0.0049808306976337,0.006434672518616,0.0038227635758823
1,All Population,5,Prevalence,6,China,1,Male,32,90-94 years,973,Substance use disorders,2,Percent,2021,0.014480449027492,0.0200795882263142,0.0102436571787972
1,All Population,5,Prevalence,6,China,2,Female,32,90-94 years,973,Substance use disorders,2,Percent,2021,0.0051574105829699,0.0068547696371311,0.0038236342461512
1,All Population,5,Prevalence,6,China,1,Male,235,95+ years,973,Substance use disorders,2,Percent,2021,0.0180304791468263,0.0254527389525655,0.0115980455032935
1,All Population,5,Prevalence,6,China,2,Female,235,95+ years,973,Substance use disorders,2,Percent,2021,0.0061192555722959,0.008592979034271,0.0041320018964401
1,All Population,5,Prevalence,62,Russian Federation,1,Male,1,<5 years,558,Mental disorders,2,Percent,2021,0.042397072942991,0.0659950360179958,0.026979958684064
1,All Population,5,Prevalence,62,Russian Federation,2,Female,1,<5 years,558,Mental disorders,2,Percent,2021,0.0302889724784182,0.0501305415420238,0.0189491667680097
1,All Population,5,Prevalence,62,Russian Federation,1,Male,6,5-9 years,558,Mental disorders,2,Percent,2021,0.1172545988212128,0.1795516736818367,0.0845071915621784
1,All Population,5,Prevalence,62,Russian Federation,2,Female,6,5-9 years,558,Mental disorders,2,Percent,2021,0.1204664285859378,0.2267034855084838,0.073334436379582
1,All Population,5,Prevalence,62,Russian Federation,1,Male,7,10-14 years,558,Mental disorders,2,Percent,2021,0.1612056985132533,0.2010435022393626,0.1319816619787364
1,All Population,5,Prevalence,62,Russian Federation,2,Female,7,10-14 years,558,Mental disorders,2,Percent,2021,0.1538286120047063,0.2170693254277188,0.11721760741918
1,All Population,5,Prevalence,62,Russian Federation,1,Male,8,15-19 years,558,Mental disorders,2,Percent,2021,0.1478142439180992,0.1740914981108164,0.1251057108924087
1,All Population,5,Prevalence,62,Russian Federation,2,Female,8,15-19 years,558,Mental disorders,2,Percent,2021,0.1521649261611729,0.185796638759675,0.128643279969352
